id:Number,initial:String,name:String,rarity:Number,year:Number,type:Number,isLimited:Number,group:String
176,ミ,ミモザ,6,2016,4,0,gacha6
178,ホ,ホップ,5,2016,1,0,gacha5
179,ヘ,ヘザー,5,2016,2,0,gacha5
180,ア,アプリコット,6,2016,4,0,gacha6
184,ア,アスター,5,2016,2,0,gacha5
185,カ,カラスウリ,5,2016,1,0,gacha5
186,サ,サフラン,6,2016,3,0,gacha6
188,ア,アロエ,5,2016,1,0,gacha5
189,リ,リリオペ,5,2016,3,0,gacha5
190,ス,スノードロップ,6,2016,3,0,gacha6
193,シ,シオン,5,2016,3,0,gacha5
194,リ,リシアンサス,5,2016,1,0,gacha5
195,イ,イベリス,6,2016,4,0,gacha6
198,グ,グリーンベル,5,2016,4,0,gacha5
199,ア,アリウム,5,2016,4,0,gacha5
200,タ,タチアオイ,6,2016,3,0,gacha6
202,オ,オキザリス,5,2016,2,0,gacha5
203,イ,イヌタデ,5,2016,1,0,gacha5
204,ハ,ハブランサス,6,2016,1,0,gacha6
207,マ,マンリョウ(ジューンブライド),5,2016,4,0,gacha5
208,ハ,ハナモモ(ジューンブライド),5,2016,2,0,gacha5
209,オ,オオオニバス(ジューンブライド),6,2016,1,0,gacha6
211,ジ,ジャーマンアイリス(七夕),5,2016,4,0,gacha5
212,カ,カタバミ(七夕),5,2016,2,0,gacha5
213,バ,バンテイシ,6,2016,1,0,gacha6
216,カ,カトレア(水着),5,2016,4,0,gacha5
217,チ,チョコレートコスモス(水着),5,2016,3,0,gacha5
218,エ,エピデンドラム(水着),6,2016,4,0,gacha6
220,ス,スイギョク,5,2016,1,0,gacha5
221,イ,イカリソウ,5,2016,2,0,gacha5
222,エ,エニシダ,6,2016,4,0,gacha6
225,ハ,ハナミズキ(浴衣),5,2016,4,0,gacha5
226,ウ,ウメ(浴衣),5,2016,3,0,gacha5
227,ビ,ビオラ(浴衣),6,2016,2,0,gacha6
230,ホ,ホオズキ,5,2016,2,0,gacha5
231,サ,サオトメバナ,5,2016,3,0,gacha5
232,ハ,ハツユキソウ,6,2016,4,0,gacha6
234,ナ,ナイトメア(カタクリ),6,2016,1,0,gacha6
236,ア,アネモネ(世界花の巫女),5,2016,3,0,gacha5
237,ナ,ナデシコ(世界花の巫女),5,2016,1,0,gacha5
238,ヒ,ヒガンバナ(世界花の巫女),6,2016,4,0,gacha6
240,フ,フジバカマ,5,2016,2,0,gacha5
241,ツ,ツキトジ,5,2016,4,0,gacha5
242,ハ,ハギ,6,2016,3,0,gacha6
244,カ,カルセオラリア,5,2016,4,0,gacha5
245,ア,アカンサス,5,2016,3,0,gacha5
246,シ,シロタエギク,6,2016,1,0,gacha6
249,ハ,ハゼ,5,2016,4,0,gacha5
250,コ,コキア,5,2016,3,0,gacha5
251,シ,シャボンソウ,6,2016,4,0,gacha6
254,ウ,ウサギノオ(ハロウィン),5,2016,2,0,gacha5
255,ニ,ニゲラ,5,2016,1,0,gacha5
256,シ,シャクヤク(ハロウィン),6,2016,1,0,gacha6
258,キ,キウイ,5,2016,1,0,gacha5
259,パ,パイナップル,5,2016,2,0,gacha5
260,ビ,ビワ,6,2016,3,0,gacha6
262,モ,モミジ(クリスマス),5,2016,1,0,gacha5
263,シ,シャムサクララン(クリスマス),5,2016,1,0,gacha5
264,ポ,ポーチュラカ,6,2016,1,0,gacha6
266,ア,アプリコット(クリスマス),5,2016,4,0,gacha5
267,イ,イオノシジウム(クリスマス),5,2016,3,0,gacha5
268,ク,クリスマスベゴニア,5,2016,3,0,gacha5
269,ヒ,ヒメシャラ(クリスマス),6,2016,1,0,gacha6
271,オ,オキザリス(新春),5,2016,2,0,gacha5
272,ユ,ユズリハ,5,2016,3,0,gacha5
273,ア,アイビー(新春),6,2016,2,0,gacha6
276,セ,セリ,5,2017,2,0,gacha5
277,ユ,ユキノシタ,5,2017,2,0,gacha5
278,ゴ,ゴギョウ,6,2017,4,0,gacha6
281,プ,プロテア,5,2017,4,0,gacha5
282,オ,オトメギキョウ,5,2017,2,0,gacha5
283,キ,キリンソウ,6,2017,1,0,gacha6
285,オ,オニユリ,5,2017,4,0,gacha5
286,ハ,ハートカズラ,5,2017,3,0,gacha5
287,カ,カカオ,6,2017,2,0,gacha6
289,カ,カキツバタ,5,2017,1,0,gacha5
290,ザ,ザクロ,5,2017,1,0,gacha5
291,ハ,ハス,6,2017,4,0,gacha6
295,ハ,ハナイ,5,2017,2,0,gacha5
296,ニ,ニチニチソウ,5,2017,3,0,gacha5
297,フ,フリージア,6,2017,4,0,gacha6
300,ピ,ピラカンサ,5,2017,3,0,gacha5
301,サ,サンタンカ,5,2017,3,0,gacha5
302,ク,クルクマ,6,2017,3,0,gacha6
305,コ,コデマリ,5,2017,3,0,gacha5
306,サ,サラセニア,5,2017,1,0,gacha5
307,オ,オジギソウ,6,2017,2,0,gacha6
310,バ,バルーンバイン(イースター),5,2017,2,0,gacha5
311,リ,リムナンテス,5,2017,3,0,gacha5
312,ヘ,ヘレニウム(イースター),6,2017,4,0,gacha6
314,エ,エノコログサ(花祭り),5,2017,4,0,gacha5
315,カ,カカリア,5,2017,4,0,gacha5
316,ラ,ランタナ(花祭り),6,2017,1,0,gacha6
318,ア,アキレア,5,2017,1,0,gacha5
319,ル,ルドベキア,5,2017,1,0,gacha5
320,マ,マロニエ,6,2017,3,0,gacha6
323,パ,パキラ,5,2017,3,0,gacha5
324,リ,リシマキア,5,2017,2,0,gacha5
325,セ,セルリア,6,2017,3,0,gacha6
327,ネ,ネリネ(ジューンブライド),5,2017,4,0,gacha5
328,ヨ,ヨメナ,5,2017,4,0,gacha5
329,ス,スイレン(ジューンブライド),6,2017,1,0,gacha6
331,サ,サンデリアーナ,5,2017,3,0,gacha5
332,カ,カレンデュラ,5,2017,4,0,gacha5
333,リ,リンゴ(七夕),6,2017,4,0,gacha6
336,ホ,ホトトギス(水着),5,2017,3,0,gacha5
337,バ,バイカモ,5,2017,4,0,gacha5
338,ス,ススキ(水着),6,2017,1,0,gacha6
340,フ,フェンネル,5,2017,3,0,gacha5
341,ク,クレソン,5,2017,1,0,gacha5
342,ク,クコ,6,2017,4,0,gacha6
344,ヘ,ヘリオトロープ(浴衣),5,2017,3,0,gacha5
345,ハ,ハゼラン,5,2017,2,0,gacha5
346,オ,オミナエシ,6,2017,4,0,gacha6
349,カ,カウスリップ,5,2017,4,0,gacha5
350,コ,コマクサ,5,2017,2,0,gacha5
351,ミ,ミスミソウ,6,2017,1,0,gacha6
353,ア,アネモネ(光華の姫君),5,2017,3,0,gacha5
354,シ,シクラメン(光華の姫君),5,2017,4,0,gacha5
355,カ,カトレア(光華の姫君),6,2017,4,0,gacha6
357,ワ,ワレモコウ(成長する軍師),5,2017,4,0,gacha5
358,ア,アカバナスイレン(成長する陰謀),5,2017,2,0,gacha5
359,ミ,ミント(成長する美徳),5,2017,1,0,gacha5
360,ホ,ホシクジャク,6,2017,1,0,gacha6
362,エ,エキナセア(温泉浴衣),5,2017,3,0,gacha5
363,ホ,ホップ(温泉浴衣),5,2017,1,0,gacha5
364,エ,エノテラ,6,2017,1,0,gacha6
366,ワ,ワルナスビ,5,2017,1,0,gacha5
367,ラ,ラークスパー,5,2017,2,0,gacha5
368,ス,ストレプトカーパス,6,2017,4,0,gacha6
374,サ,サンカクサボテン(ハロウィン),5,2017,3,0,gacha5
375,ア,アルテミシア,5,2017,4,0,gacha5
376,デ,デージー(ハロウィン),6,2017,3,0,gacha6
378,ス,スズナ,5,2017,3,0,gacha5
379,ネ,ネモフィラ,5,2017,1,0,gacha5
380,ス,スパラキシス,6,2017,1,0,gacha6
382,ツ,ツツジ,6,2017,4,0,gacha6
384,ハ,ハツユキソウ(クリスマス),5,2017,2,0,gacha5
385,イ,イベリス(クリスマス),5,2017,4,0,gacha5
386,セ,センリョウ(クリスマス),6,2017,4,0,gacha6
388,サ,サフラン(クリスマス),5,2017,3,0,gacha5
389,サ,サンゴバナ(クリスマス),5,2017,1,0,gacha5
390,シ,シロタエギク(クリスマス),6,2017,1,0,gacha6
393,ク,クロユリ(新春),5,2017,1,0,gacha5
394,カ,カンヒザクラ,5,2017,3,0,gacha5
395,エ,エーデルワイス(新春),6,2017,2,0,gacha6
398,レ,レオノチス,5,2018,1,0,gacha5
399,ペ,ペペロミア,5,2018,4,0,gacha5
400,ス,ストック,6,2018,3,0,gacha6
402,ガ,ガジュマル,5,2018,2,0,gacha5
403,ク,クローバー,5,2018,3,0,gacha5
404,シ,シュウメイギク,6,2018,4,0,gacha6
407,ア,アロエ(バレンタイン),5,2018,1,0,gacha5
408,キ,キンギョソウ(バレンタイン),5,2018,2,0,gacha5
409,ラ,ラベンダー(バレンタイン),6,2018,4,0,gacha6
411,レ,レモン,5,2018,3,0,gacha5
412,シ,シバザクラ,5,2018,2,0,gacha5
413,パ,パフィオペディルム,6,2018,1,0,gacha6
415,ウ,ウィンターコスモス,5,2018,1,0,gacha5
416,エ,エリンジウム,5,2018,4,0,gacha5
417,コ,コムギ,6,2018,2,0,gacha6
419,デ,デルフィニウム(競技会),5,2018,1,0,gacha5
420,カ,カガミ,5,2018,2,0,gacha5
421,ウ,ウキツリボク(競技会),6,2018,4,0,gacha6
423,ア,アズキ,5,2018,1,0,gacha5
424,マ,マルメロ,5,2018,4,0,gacha5
425,ア,アグロステンマ,6,2018,3,0,gacha6
427,ツ,ツキミソウ(イースター),5,2018,4,0,gacha5
428,ブ,ブプレウルム,5,2018,3,0,gacha5
429,コ,コデマリ(イースター),6,2018,3,0,gacha6
431,ミ,ミズアオイ,5,2018,4,0,gacha5
432,ホ,ホルデュウム,5,2018,2,0,gacha5
433,ヒ,ヒツジグサ,6,2018,1,0,gacha6
435,ロ,ローレンティア(忍者),5,2018,1,0,gacha5
436,ル,ルドベキア(忍者),5,2018,1,0,gacha5
437,ワ,ワビスケ,6,2018,4,0,gacha6
439,カ,カルミア,5,2018,2,0,gacha5
440,サ,サワギキョウ,5,2018,2,0,gacha5
441,イ,イキシア,6,2018,3,0,gacha6
444,プ,プルメリア(ジューンブライド),5,2018,2,0,gacha5
445,サ,サクランボ(ジューンブライド),5,2018,2,0,gacha5
446,ハ,ハス(ジューンブライド),6,2018,4,0,gacha6
448,ヘ,ヘナ,5,2018,2,0,gacha5
449,ヘ,ヘリクリサム,5,2018,4,0,gacha5
450,ト,トリトニア,6,2018,3,0,gacha6
453,ホ,ホシクジャク(水着),5,2018,1,0,gacha5
454,ホ,ホーリー(水着),5,2018,1,0,gacha5
455,ペ,ペポ(水着),6,2018,2,0,gacha6
457,ス,スターチス,5,2018,1,0,gacha5
458,セ,セダム,5,2018,4,0,gacha5
459,ス,ステラ,6,2018,2,0,gacha6
462,ポ,ポインセチア(浴衣),5,2018,1,0,gacha5
463,ビ,ビスカリア,5,2018,2,0,gacha5
464,ゼ,ゼラニウム(浴衣),6,2018,1,0,gacha6
467,ベ,ベロペロネ,5,2018,3,0,gacha5
468,キ,キンポウゲ,5,2018,2,0,gacha5
469,ム,ムラサキハナナ,6,2018,1,0,gacha6
471,ニ,ニレ,5,2018,1,0,gacha5
472,リ,リトープス,5,2018,2,0,gacha5
473,コ,コランバイン,6,2018,3,0,gacha6
475,ム,ムギ,5,2018,2,0,gacha5
476,ヒ,ヒョウタン,5,2018,1,0,gacha5
477,ク,クルミ,6,2018,2,0,gacha6
479,イ,イフェイオン(メイド),5,2018,1,0,gacha5
480,オ,オレガノ,5,2018,2,0,gacha5
481,カ,カウスリップ(メイド),6,2018,4,0,gacha6
483,ラ,ラークスパー(ハロウィン),5,2018,2,0,gacha5
484,キ,キツネノボタン,5,2018,1,0,gacha5
485,ワ,ワルナスビ(ハロウィン),6,2018,1,0,gacha6
487,エ,エノテラ(天つ花の令嬢),5,2018,1,0,gacha5
488,ア,アネモネ(天つ花の令嬢),5,2018,3,0,gacha5
489,ト,トリカブト(天つ花の令嬢),6,2018,4,0,gacha6
491,セ,セルリア(きぐるみ教師見習い),5,2018,3,0,gacha5
492,セ,セントポーリア(きぐるみのんびり貴族),5,2018,1,0,gacha5
493,オ,オシロイバナ(きぐるみ花火師),6,2018,4,0,gacha6
497,オ,オニユリ(クリスマス),5,2018,4,0,gacha5
498,オ,オジギソウ(クリスマス),5,2018,2,0,gacha5
499,キ,キリンソウ(クリスマス),6,2018,1,0,gacha6
502,ナ,ナイトフロックス(クリスマス),5,2018,3,0,gacha5
503,ア,アルテミシア(クリスマス),5,2018,4,0,gacha5
504,エ,エニシダ(クリスマス),6,2018,4,0,gacha6
506,チ,チェリーセージ(新春),5,2018,1,0,gacha5
507,サ,サカキ,5,2018,3,0,gacha5
508,ア,アカシア(新春),6,2018,1,0,gacha6
511,ガ,ガウラ,5,2019,2,0,gacha5
512,デ,ディアスキア,5,2019,1,0,gacha5
513,コ,コオニタビラコ,6,2019,2,0,gacha6
516,ノ,ノイバラ,5,2019,1,0,gacha5
517,カ,カランコエ,5,2019,2,0,gacha5
518,ノ,ノヴァーリス(雪華の女王),6,2019,4,0,gacha6
520,デ,デンドロビウム(バレンタイン),5,2019,2,0,gacha5
521,シ,シンビジューム(バレンタイン),5,2019,2,0,gacha5
522,オ,オンシジューム(バレンタイン),6,2019,2,0,gacha6
524,ア,アンゼリカ,5,2019,4,0,gacha5
525,ジ,ジャノメエリカ,5,2019,3,0,gacha5
526,ウ,ウサギゴケ,6,2019,3,0,gacha6
528,シ,シオン(ノコンギク),5,2019,1,1,gacha5
529,ト,トレイニー(シェフレラ),5,2019,4,1,gacha5
530,ミ,ミリム(セキチク),6,2019,2,1,gacha6
532,サ,サザンクロス(温泉浴衣),5,2019,2,0,gacha5
533,ヘ,ヘチマ,5,2019,2,0,gacha5
534,フ,フェンネル(温泉浴衣),6,2019,3,0,gacha6
536,ア,アステリカリス,5,2019,4,0,gacha5
537,ス,スキラ,5,2019,3,0,gacha5
538,ヒ,ヒヤシンス,6,2019,2,0,gacha6
540,ニ,ニリンソウ(監獄島),5,2019,2,0,gacha5
541,シ,シルフィウム,5,2019,3,0,gacha5
542,ア,アキレア(監獄島),6,2019,1,0,gacha6
544,ワ,ワタチョロギ(イースター),5,2019,2,0,gacha5
545,ブ,ブラックバッカラ(イースター),5,2019,1,0,gacha5
546,ウ,ウサギギク,6,2019,2,0,gacha6
548,オ,オトギリソウ(ベイサボール),5,2019,1,0,gacha5
549,ク,クリンソウ,5,2019,4,0,gacha5
550,ビ,ビバーナム(ベイサボール),6,2019,2,0,gacha6
553,フ,フィソステギア,5,2019,1,0,gacha5
554,ボ,ボリジ,5,2019,3,0,gacha5
555,タ,タラゴン,6,2019,4,0,gacha6
557,ブ,ブンタン,5,2019,2,0,gacha5
558,ス,スミシアンサ,5,2019,2,0,gacha5
559,ゴ,ゴデチア,6,2019,3,0,gacha6
561,サ,サフラン(ジューンブライド),5,2019,2,0,gacha5
562,ヘ,ヘレニウム(ジューンブライド),5,2019,4,0,gacha5
563,ハ,ハリエンジュ(ジューンブライド),6,2019,3,0,gacha6
565,ラ,ランギク,5,2019,2,0,gacha5
566,マ,マスデバリア,5,2019,3,0,gacha5
567,プ,プラム,6,2019,2,0,gacha6
569,ハ,ハマナデシコ,5,2019,4,0,gacha5
570,カ,カズラ,5,2019,2,0,gacha5
571,デ,デュランタ,6,2019,3,0,gacha6
573,ギ,ギリア,5,2019,3,0,gacha5
574,ツ,ツルバキア,5,2019,2,0,gacha5
575,フ,フリチラリア,6,2019,4,0,gacha6
577,ア,アキメネス,5,2019,4,0,gacha5
578,ル,ルリタマアザミ,5,2019,2,0,gacha5
579,モ,モミジ(水着),6,2019,2,0,gacha6
582,ア,アイビー(水着),5,2019,3,0,gacha5
583,エ,エビネ,5,2019,3,0,gacha5
584,サ,サクラ(水着),6,2019,4,0,gacha6
586,ク,クローブ,5,2019,3,0,gacha5
587,パ,パピルス,5,2019,4,0,gacha5
588,ネ,ネムノキ,6,2019,2,0,gacha6
590,ア,アンチューサ,5,2019,3,0,gacha5
591,コ,コケモモ,5,2019,1,0,gacha5
592,ホ,ホウセンカ,6,2019,3,0,gacha6
594,ハ,ハツユキソウ(精華の王女),5,2019,2,0,gacha5
595,エ,エノテラ(精華の王女),5,2019,1,0,gacha5
596,ア,アネモネ(精華の王女),6,2019,3,0,gacha6
598,バ,バイカモ(ハロウィン),5,2019,4,0,gacha5
599,ケ,ケイトウ,5,2019,2,0,gacha5
600,ス,ストレプトカーパス(ハロウィン),6,2019,4,0,gacha6
602,イ,インクバナ,5,2019,3,0,gacha5
603,ピ,ピレスラム,5,2019,2,0,gacha5
604,カ,カヤナ,6,2019,2,0,gacha6
606,デ,デンドロビウム(憧れの青春想う教育係),5,2019,2,0,gacha5
607,ス,ステラ(憧れの煌めく新星),5,2019,2,0,gacha5
608,シ,シュウメイギク(憧れのくつろぎ女王),6,2019,4,0,gacha6
610,キ,キランソウ,5,2019,2,0,gacha5
611,ナ,ナツメ,5,2019,1,0,gacha5
612,パ,パクチー,6,2019,3,0,gacha6
614,ハ,ハマシオン,5,2019,1,0,gacha5
615,ミ,ミズアオイ(クリスマス),6,2019,4,0,gacha6
616,ネ,ネリネ(クリスマス),6,2019,3,0,gacha6
618,シ,シャコバサボテン,5,2019,2,0,gacha5
619,コ,コムギ(クリスマス),6,2019,2,0,gacha6
620,サ,サボテン(クリスマス),6,2019,2,0,gacha6
621,シ,シャボンソウ(新春),5,2019,4,0,gacha5
622,エ,エピデンドラム(新春),6,2019,3,0,gacha6
626,ス,スグリ,5,2020,2,0,gacha5
627,ク,クルマユリ,5,2020,1,0,gacha5
628,ミ,ミムルス,6,2020,2,0,gacha6
630,ヒ,ヒメオドリコソウ,5,2020,2,0,gacha5
631,リ,リッピア,5,2020,3,0,gacha5
632,カ,カルダミネ・リラタ,6,2020,3,0,gacha6
634,ユ,ユキハナソウ,6,2020,2,0,rainbow-medal
635,フ,フウロソウ,6,2020,4,0,rainbow-medal
636,ネ,ネペタ,6,2020,1,0,rainbow-medal
637,デ,ディプラデニア(バレンタイン),5,2020,3,0,gacha5
638,チ,チコリー,5,2020,2,0,gacha5
639,キ,キツネノボタン(バレンタイン),6,2020,1,0,gacha6
641,マ,マツバボタン,5,2020,3,0,gacha5
642,リ,リクニス,5,2020,1,0,gacha5
643,レ,レウイシア,6,2020,3,0,gacha6
645,ハ,ハルジオン,5,2020,2,0,gacha5
646,ゲ,ゲウム,5,2020,4,0,gacha5
647,グ,グロリオサ,6,2020,3,0,gacha6
649,ト,トケイソウ,5,2020,3,0,gacha5
650,キ,キャッツテール,5,2020,1,0,gacha5
651,ヒ,ヒナソウ,6,2020,4,0,gacha6
652,ハ,ハートツリー,6,2020,2,0,rainbow-medal
653,ユ,ユズ,5,2020,4,0,gacha5
654,オ,オレンジ,6,2020,1,0,gacha6
656,カ,カカオ(イースター),5,2020,2,0,gacha5
657,チ,チョコレートコスモス(イースター),6,2020,3,0,gacha6
658,モ,モンヨウショウ,6,2020,1,0,rainbow-medal
659,メ,メコノプシス,6,2020,2,0,gacha6
661,エ,エノキ,5,2020,4,0,gacha5
662,ガ,ガンライコウ,6,2020,1,0,gacha6
664,ヒ,ヒペリカム,5,2020,3,0,gacha5
665,イ,イワレンゲ,6,2020,4,0,gacha6
666,オ,オステオスペルマム,6,2020,3,0,rainbow-medal
667,ケ,見当かなみ,5,2020,1,1,gacha5
668,マ,魔想志津香,6,2020,4,1,gacha6
669,サ,サテラ,6,2020,1,1,gacha6
671,ハ,ハゼラン(ジューンブライド),5,2020,2,0,gacha5
672,ゲ,ゲッカビジン(ジューンブライド),6,2020,4,0,gacha6
